店名,地址,營業,評分,地點id,特性,價格
漁陶屋 日式料理,大同區承德路三段206之1號,"1,1130,1430,1730,2130;2,1130,1430,1730,2130;3,1130,1430,1730,2130;4,1130,1430,1730,2130;5,1130,1430,1730,2130;6,1130,1500,1700,2200;7,1130,1500,1700,2200",4.5,ChIJDcbHlEipQjQR15zhkJX0LO4,restaurant;food;point_of_interest;establishment,"[300, 600]"
大龍峒肉羹-米粉湯,大同區重慶北路三段297號,"1,9999,9999;2,0600,1430;3,0600,1430;4,0600,1430;5,0600,1430;6,0600,1430;7,0600,1430",4.0,ChIJj3w6JzapQjQRG-XXSeLaGrU,restaurant;food;point_of_interest;establishment,"[100, 300]"
老蔡水煎包 大龍創始店,大同區大龍街310號,"1,0600,2300;2,0600,2300;3,0600,2300;4,0600,2300;5,0600,2300;6,0600,2300;7,0600,2300",3.4,ChIJv34ESUipQjQRKwM3_mYR2tk,restaurant;food;point_of_interest;establishment,"[100, 300]"
老牌張豬腳飯,大同區民族西路296號,"1,9999,9999;2,1100,2030;3,1100,2030;4,1100,2030;5,1100,2030;6,1100,2030;7,1100,2030",4.0,ChIJbdo3rDmpQjQRKSiluw7p2iE,restaurant;point_of_interest;food;establishment,"[300, 600]"
重慶豆漿炸蛋餅,大同區重慶北路三段335巷32號,"1,1730,1130;2,1730,1130;3,9999,9999;4,1730,1130;5,1730,1130;6,0530,1300;7,0530,1300",4.1,ChIJPdXL8UmpQjQRkSFV1sUzLQg,restaurant;food;point_of_interest;establishment,"[100, 300]"
阿伯仔潤餅小棧重慶店,大同區重慶北路三段335巷50號,"1,9999,9999;2,0700,1300;3,0700,1300;4,0700,1300;5,0700,1300;6,0700,1300;7,0700,1300",4.5,ChIJCZo2_a-uQjQROOfo0NBF1HI,restaurant;point_of_interest;food;establishment,"[100, 300]"
洪瑞珍三明治 重慶店,大同區重慶北路三段86號,"1,0900,2000;2,0900,2000;3,0900,2000;4,0900,2000;5,0900,2000;6,0900,2000;7,9999,9999",4.1,ChIJ_UjUmTipQjQRUa2k4jcpW-c,restaurant;food;point_of_interest;establishment,"[100, 300]"
吉野家 重北店,大同區重慶北路三段259號,"1,0500,0400;2,0500,0400;3,0500,0400;4,0500,0400;5,0500,0400;6,0500,0400;7,0500,0400",3.5,ChIJaeYi3zepQjQRol4OLM7UOKc,restaurant;food;point_of_interest;establishment,"[300, 600]"
大龍街香菇肉粥,大同區重慶北路三段307號,"1,9999,9999;2,0600,1300,1700,2000;3,0600,1300,1700,2000;4,0600,1300,1700,2000;5,0600,1300,1700,2000;6,0600,1300;7,0600,1300",3.9,ChIJXcDKTkipQjQRwqSak4pHyNU,restaurant;food;point_of_interest;establishment,"[100, 300]"
老麵店,大同區迪化街二段215-8號,"1,1015,1915;2,1015,1915;3,1015,1915;4,1015,1915;5,1015,1915;6,1015,1915;7,9999,9999",4.3,ChIJ4dluKTipQjQR3oOU_9XUGOQ,restaurant;food;point_of_interest;establishment,"[100, 300]"
