Restaurant,Probability (%)
漁陶屋 日式料理,0.05%
大龍峒肉羹-米粉湯,0.12%
老蔡水煎包 大龍創始店,0.28%
老牌張豬腳飯,0.11%
重慶豆漿炸蛋餅,0.10%
阿伯仔潤餅小棧重慶店,0.06%
洪瑞珍三明治 重慶店,0.10%
吉野家 重北店,0.23%
大龍街香菇肉粥,0.14%
老麵店,0.08%
雙連 文記花枝焿,0.24%
萬世香小籠包豆漿店,0.08%
MAJI MAJI集食行樂,0.10%
金春發牛肉店,0.20%
小林麵食店,0.11%
三隻獅子英國餐廳 The Three Lions Inn,0.11%
《21工房麵條研究室》假日人潮眾多，建議於平日前來享用,0.11%
娥嬤炖鰻 （原昌吉紅燒鰻）,0.14%
霸味薑母鴨 承德店,0.08%
劍潭勇伯米粉湯,0.12%
海霸王餐廳,0.17%
地中海牛排館-歐華酒店,0.04%
丸林魯肉飯,0.13%
富樂臺式涮涮鍋,0.08%
女王漢堡,0.13%
玫卿越南料理,0.07%
欣葉台菜 創始店,0.08%
草原風蒙古火鍋,0.04%
TUTTO BELLO,0.06%
圓山大飯店-圓苑餐廳,0.07%
圓山大飯店-金龍餐廳,0.08%
圓山大飯店-圓山牛排館,0.07%
京品私房料理,0.13%
麥町吐司工房,0.16%
德惠米粉湯,0.08%
吉林三民土羊專賣店（羊肉爐）,0.10%
李記牛肉麵,0.18%
屏東双園火鍋,0.07%
上引水產,0.09%
一郎日本料理,0.11%
煮海 Tresors de la mer,0.08%
郭家涼麵,0.12%
台灣鹽酥雞,0.08%
鍋饕精緻涮涮鍋,0.05%
水牛城美式餐廳BFLO,0.07%
林文必涼麵,0.16%
兄弟麵館,0.12%
大直創義麵,0.08%
水餃之家,0.11%
大直小館,0.11%
岡山正味羊肉專賣店,0.08%
內行人鹽酥雞,0.12%
焦家水餃,0.10%
PaPaPasta帕帕麵店「台北大直.別無分店」,0.08%
魚鄉屋湘菜餐廳,0.08%
高雄五福扁食 K.H.Wufu 大直店,0.10%
木森林餐坊,0.16%
CASADELLAPASTA義麵坊,0.13%
椒房殿麻辣鴛鴦火鍋,0.07%
揚屋大眾日式料理,0.10%
佳佳牛排館,0.14%
THE DOOR樂多,0.07%
那比餐坊,0.05%
勝拉麵,0.09%
龍涎居雞膳食坊 大直店,0.11%
吟翔割烹壽司,0.08%
明水三井 二館,0.10%
教父牛排 Danny's Steak House,0.07%
Osteria by Angie 大直店,0.09%
ED's Diner美式BBQ燒烤餐館 Est. 2011,0.08%
Mövenpick Café-莫凡彼台北美麗華店,0.10%
驢子餐廳 春大直店,0.06%
瓦城泰國料理 - 美麗華店,0.05%
勝博殿 劍南店,0.11%
川田涮涮鍋 大直店,0.08%
美琪蒙古烤肉,0.20%
印度皇宮 美麗華店,0.10%
漢堡王 Burger King 美麗華店,0.07%
明水三井,0.09%
覺旅咖啡 西湖店,0.08%
學學食驗室 Xue Xue Taste Lab,0.10%
CAMPUS CAFE 內湖店,0.13%
VASA 瓦薩美式餐廳 - 內科門市,0.10%
Miacucina內湖店,0.10%
春水堂 西湖店,0.13%
巷上食璞川菜客家菜,0.08%
瓦城泰國料理 - 西湖店,0.07%
吉野家 內湖西湖店,0.27%
泰廚鄉,0.09%
黑美林,0.06%
天仁喫茶趣 內湖店,0.08%
Second Floor 貳樓西湖店,0.07%
福岡屋拉麵,0.10%
宏泰泰式料理,0.13%
摩斯漢堡 瑞光店,0.17%
騰爐酸菜白肉鍋x麻辣鍋,0.06%
鑫鱻熱炒店,0.17%
金泰日式料理-內湖店,0.10%
CaLACaLA義大利廚房內湖店,0.08%
Moooon River Cafe & Books,0.07%
莫宰羊-內湖港墘店,0.10%
三元花園韓式餐廳 瑞光店,0.06%
哈古小館。au petit cochon,0.07%
SUBWAY內湖瑞光店,0.17%
台記家傳手勁麵,0.13%
布克湖義式坊,0.07%
包青天手工蔬菜包,0.08%
La Pasta 義麵屋 內湖店,0.11%
我家牛排,0.11%
象園咖啡內湖店,0.07%
貝莉義式餐廳,0.09%
大橋頭老牌筒仔米糕,0.08%
賣麵炎仔,0.09%
牛老大涮牛肉 (台北市承德店),0.10%
魏祥記純糖麻糬,0.10%
東方饌黔天下貴州主題餐廳,0.11%
紅昌吉豬血湯,0.10%
